Date,ABT,ACN,ADBE,AMD,AMZN,AVGO,BAC,BMY,COST,CRM,CSCO,CVX,DHR,DIS,GE,GOOG,HD,HON,IBM,JNJ,JPM,KO,LIN,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,PEP,PG,PM,QCOM,SPY,TMO,TSLA,UNP,V,WMT,XOM
11/29/2023,99.7130127,323.4483032,617.3900146,123.8499985,146.3200073,91.75538635,28.80893707,44.17909622,568.4852295,227.9521484,45.36537552,131.8539429,220.2587585,90.98323822,93.75287628,135.4729156,298.1152954,175.433136,147.1510468,143.0628662,147.5964355,54.8338623,401.2696228,405.1353455,267.5090637,330.1646423,94.99925232,73.72501373,373.2843933,54.9932518,47.71900177,106.3370056,156.0823822,143.6633606,85.7359848,123.3168793,443.1568604,489.8876648,244.1399994,211.6745148,250.5221405,50.83800888,95.46065521
11/30/2023,100.3480682,323.2542114,611.0100098,121.1600037,146.0899963,90.28272247,29.21132469,44.77758026,573.2044067,249.2778168,45.67694092,131.5698853,221.040741,91.17012787,96.07183075,133.0097656,300.4827576,176.9322968,149.1737671,145.4612122,149.2797241,55.46980667,403.5910645,409.0994568,270.5132751,325.1455994,96.26741791,74.46646881,373.3435364,55.13459396,47.39699936,106.240654,158.3357086,145.9352875,85.4704895,124.4159622,444.9017639,492.7102051,240.0800018,215.3064423,252.9364014,50.71097565,95.83377075
12/1/2023,100.9157639,328.0282288,612.4699707,121.3899994,147.0299988,90.69917297,29.66161156,45.43047333,576.5987549,257.2935181,45.76190948,132.6785126,221.2089996,91.06193542,96.62397766,132.4138641,306.3583984,178.6119843,151.04599,148.9599457,150.0066376,55.65964508,402.8132324,409.6233521,274.4676514,322.8298645,97.18801117,75.92126465,369.0081787,55.7565155,46.57400131,109.7014542,158.7120514,145.1177673,86.10218048,125.0136795,447.5337524,493.0778809,238.8300018,221.1366119,252.7097626,50.27125168,96.06695557
12/4/2023,101.2140503,326.4465637,604.5599976,118.5699997,144.8399963,90.11109924,29.52748299,45.3216629,579.3354492,248.0507202,45.36537552,132.7335052,219.8727264,90.50128174,95.85887146,129.742157,310.5758667,179.1358032,151.5634155,149.430191,151.1065369,55.59320068,397.8624573,403.5634766,274.6308899,318.0592346,98.69100952,76.22161865,363.717041,55.28536606,45.38999939,111.3158569,159.1354523,144.5473785,85.07683563,125.2836075,445.1844177,492.2927246,235.5800018,223.554718,250.7290802,50.25822449,95.54460144
12/5/2023,100.4058075,325.8643799,602.2199707,118.3799973,146.8800049,89.05294037,29.29754829,45.54835892,585.3987427,248.4069977,45.25207901,130.8918915,217.2100677,89.30129242,94.83348083,131.4901733,310.0774536,177.862442,151.8362427,149.1198578,151.0874023,55.67862701,395.250061,404.0182495,275.0243835,316.3398743,99.79008484,75.24549866,367.0473328,54.87075424,45.51499939,111.5671997,158.006424,139.5092468,84.7197876,126.0549088,445.0967407,488.5757446,238.7200012,221.9012451,250.8966064,50.72400284,93.68838501
12/6/2023,100.9734955,325.4568787,595.7000122,116.8199997,144.5200043,88.12838745,29.24964523,45.23097992,587.4103394,246.5366364,45.03492737,130.5895386,218.5166473,89.99963379,94.50219727,130.5366974,312.5791626,178.6210327,150.7919312,147.3046417,149.4997253,55.6216774,391.6690674,405.6889343,275.3314819,315.5050354,99.22645569,74.53217316,363.3820496,56.72710037,44.67300034,112.2438889,157.6018372,139.4046783,83.40146637,125.2932892,443.3030701,490.7721863,239.3699951,222.6658783,250.5812683,50.17354202,92.44777679
12/7/2023,100.1171341,325.1560364,608.7800293,128.3699951,146.8800049,89.94431305,29.37419128,45.48488235,590.81427,246.2595673,45.56364059,130.4887543,216.6953278,90.83570862,94.24190521,137.5090027,312.6366577,178.6210327,150.7355042,146.1571808,149.9588013,55.75456619,390.0448914,408.4272766,275.2643127,324.5890198,97.58255768,75.41444397,365.5004578,56.39728928,45.20000076,110.987175,157.5548096,139.262085,83.41978455,128.1662598,446.6856384,491.0604553,242.6399994,222.4928894,252.0889587,49.84333801,91.80416107
12/8/2023,100.559761,327.2228699,610.0100098,128.9199982,147.4199982,92.09378815,29.66161156,45.62090683,590.6498413,248.1991577,45.67694092,132.2204132,215.2798767,91.59554291,95.11741638,135.7112732,312.9242249,175.7492218,152.3724976,145.2354736,151.6134186,55.63116837,392.6083679,407.4485474,274.0549622,330.7112732,97.46043396,77.22589111,368.7322693,56.25595093,45.37599945,112.0505447,155.8800812,137.9787903,83.59371948,128.1951904,448.6060181,486.757019,243.8399963,220.8397217,252.0101166,49.32025528,92.85820007
12/11/2023,102.2051239,332.1520996,625.2000122,134.4100037,145.8899994,100.377655,29.55622673,46.32820129,603.2987671,249.4757385,46.63050461,132.2570801,219.1006622,90.98371887,94.87291718,133.7844849,317.58255,180.9690552,153.8307343,145.8374023,152.1681519,56.03931046,399.427887,410.9580078,277.5294495,323.2870178,98.04285431,77.73271179,365.8452454,56.26537323,45.98899841,114.6606369,157.8935242,138.6157227,85.13175964,131.2127991,450.3509521,491.9449158,239.7400055,223.0118561,252.778717,49.44449234,92.92350006
12/12/2023,102.6477356,333.0350952,633.6599731,137.6100006,147.4799957,104.5751724,29.4508419,45.80225754,608.7528076,253.7804565,46.57385635,130.5620422,217.5169067,89.86862946,96.48200989,132.7316742,319.3749695,181.9805298,154.9597321,145.846817,153.5262909,56.39999771,417.5090027,415.9403687,279.7082825,332.1722412,98.0334549,78.4648056,368.8800354,56.08633423,46.29999924,115.6563339,158.5050507,138.7297516,85.03104401,131.7719574,452.4077759,494.3102417,237.0099945,223.857666,255.7743835,49.4837265,91.45904541
